id,devicetype,macaddress,regtime,name,location,configtime,updatetime,repeaterid,deviceconfigrequired
96,coordinator-node,A4:CF:12:C7:96:B7,"2023-02-09 11:00:35",Coordinator,,"2023-02-09 11:00:35","2023-02-09 11:00:35",-1,0
97,coordinator-node,A4:CF:12:C7:92:85,"2023-02-09 11:01:24",Coordinator,,"2023-02-09 11:01:24","2023-02-09 11:01:24",-1,0
98,repeater-node,84:CC:A8:88:7A:78,"2023-02-09 11:03:57",R1,"Cognifront Lab","2023-02-09 11:07:49","2023-02-09 11:53:36",100,0
99,sensor-node,5C:CF:7F:57:26:FE,"2023-02-09 11:05:47",S1,"Cognifront Lab","2023-02-09 11:06:02","2023-02-09 11:56:47",98,0
100,repeater-node,A4:CF:12:C7:88:B7,"2023-02-09 11:07:34",R2,"Cognifront Lab","2023-02-09 11:09:21","2023-02-09 11:09:42",101,0
101,repeater-node,A4:CF:12:C7:EF:50,"2023-02-09 11:08:56",R3,"Cognifront Lab","2023-02-09 11:10:44","2023-02-09 11:10:52",102,0
102,repeater-node,A4:CF:12:C7:DD:C4,"2023-02-09 11:10:23",R4,"Cognifront Lab","2023-02-09 11:22:55","2023-02-09 12:03:21",96,0
103,repeater-node,A4:CF:12:C7:DF:5F,"2023-02-09 11:16:50",R5,"Cognifront Lab","2023-02-09 11:17:56","2023-02-09 11:18:16",-1,0
104,repeater-node,C4:5B:BE:70:D0:A2,"2023-02-09 11:23:18",R6,"Cognifront Lab","2023-02-09 11:24:19","2023-02-09 11:23:18",-1,0
105,repeater-node,A4:CF:12:C7:E6:D9,"2023-02-09 11:24:15",R7,"Cognifront Lab","2023-02-09 11:24:27","2023-02-09 11:24:15",-1,0
106,sensor-node,30:83:98:80:04:84,"2023-02-09 11:25:11",S2,"Cognifront Lab","2023-02-09 11:25:28","2023-02-09 11:25:37",98,0
